"HUD ID Number","Project Name","Project Address","Project City","Project State","Project ZIP Code","County","Total Number of Units","Total Low-Income Units","Compliance Monitoring Status"
"NYB20050040","SEA PARK WEST","2930 W 30TH ST","BROOKLYN","NY","11224","Kings County","362","332","Not Indicated"
"NYB20090007","80 DEKALB AVENUE","80 DEKALB AVE","BROOKLYN","NY","11201","Kings County","365","73","Not Indicated"
"NYB20110035","CONCERN MACDOUGAL","324332 MACDOUGAL ST","BROOKLYN","NY","","Kings County","65","65","Not Indicated"
"NYB20110809","25 WASHINGTON STREET APARTMENTS","25 WASHINGTON ST","BROOKLYN","NY","11201","Kings County","106","21","Not Indicated"
"NYB20110810","GENESIS NEIGHBORHOOD PLAZA II (HELP USA)","350 SNEDIKER AVE","BROOKLYN","NY","11207","Kings County","98","97","Not Indicated"
"NYB20120077","LIVONIA APTS","696 LIVONIA AVE","BROOKLYN","NY","11207","Kings County","","","Not Indicated"
"NYB20120806","HEGEMAN AVENUE","39 HEGEMAN AVE","BROOKLYN","NY","11212","Kings County","161","160","Not Indicated"
"NYB20130007","CAMBA","690 ALBANY AVE","BROOKLYN","NY","11203","Kings County","","","Not Indicated"
"NYB20140010","388 BRIDGE STREET APARTMENTS","388 BRIDGE ST","BROOKLYN","NY","11201","Kings County","234","48","Not Indicated"
"NYB20140020","CORNERSTONE SANDY F. RAY SENIOR HOUSING","550 GREENE AVE","BROOKLYN","NY","11216","Kings County","151","150","Not Indicated"
"NYB20141014","LOS SURES HOUSING FOR THE ELDERLY","201 ROEBLING ST","BROOKLYN","NY","11211","Kings County","56","55","Not Indicated"
"NYB20142002","29 FLATBUSH AVENUE","66 ROCKWELL PLACE","BROOKLYN","NY","11217","Kings County","66","66","Not Indicated"
"NYB20142012","DOCK STREET","60 WATER ST","BROOKLYN","NY","11201","Kings County","290","58","Not Indicated"
"NYB20143027","STUYPARK","77 NEW YORK AVE","BROOKLYN","NY","11216","Kings County","103","87","Not Indicated"
"NYB20148090","WILLOUGHBY COURT APARTMENTS","721 WILLOUGHBY AVE","BROOKLYN","NY","11206","Kings County","267","249","Not Indicated"
